user,item,rating
2,148,0.2325336479862902
2,110,0.45871798020795973
2,6,0.6234083423116651
3,11,0.2464062204672235
3,111,0.3198842691785737
4,146,0.28496085377414393
4,37,0.23073827925587562
5,6,0.20027489398922702
5,42,0.24185337048067726
5,41,0.23223883335524567
6,163,0.5926271669366867
7,161,0.15992472821806128
7,92,0.12147138273002818
7,74,0.29519374135602366
7,64,0.18448299744449878
9,45,0.1993678095236333
9,28,0.45587316900648345
9,74,0.42607168362791303
12,32,0.2498858794374789
12,10,0.27912815494000953
13,52,0.3941952935234607
13,54,0.4365065670620785
16,94,0.24590225149089512
16,38,0.2356872701468564
17,40,0.3340646312572163
20,84,0.10545505613621603
20,37,0.1647790081250829
20,87,0.1026355071681174
20,133,0.10089083731612981
22,112,0.3705521049003323
25,115,0.37099016148218916
26,101,0.4002464485357428
27,61,0.49025382578575427
28,114,0.09112239613998568
28,138,0.5419207905011445
28,5,0.09369187343117126
30,78,0.20359084094269028
30,133,0.17082763793741604
30,18,0.10636907564964158
30,158,0.07014518388476489
30,44,0.21273815129928317
30,65,0.11173468677003591
30,119,0.09934203350198591
30,84,0.17855574031822732
30,106,0.0958914473091748
31,147,0.29790059051121687
31,135,0.35227075850020023
32,19,0.5095077939695324
34,134,0.2141693235232392
34,128,0.20772797225969958
34,118,0.1983452047224709
36,130,0.02526790856598196
36,42,0.6164252252827244
36,60,0.04438711604488521
36,123,0.021933793540667806
36,157,0.03389244410689433
36,25,0.02483484094686974
36,132,0.02246540883452901
36,135,0.026244128972579807
36,110,0.17963575012688418
36,166,0.03863130833157579
36,40,0.014364266934254596
36,90,0.041993586007168744
36,74,0.08398717201433749
36,41,0.6691270879349117
37,110,0.2864849916001388
37,98,0.41577139302434424
38,41,0.5293227828427953
42,84,0.44123181684279694
43,0,0.29339075134539583
43,19,0.3481933949317023
43,11,0.2682126840969361
45,163,0.40773704166581726
45,87,0.45118281323819576
47,158,0.2809234314920109
47,40,0.5087709297972083
51,92,0.11408229057396396
51,67,0.13861856768289066
51,26,0.6368646257034947
52,33,0.6148087552881082
53,175,0.15817651577430458
53,66,0.15329206722979616
53,58,0.24838825465553016
55,106,0.0953197501620639
55,63,0.877993262695081
56,120,0.26643004001282405
56,146,0.47868207878783947
57,40,0.2360596732072724
57,100,0.30262599776589344
59,173,0.4205954280026131
60,112,0.26081365943552226
60,177,0.24277064223997927
61,91,0.5064760723780091
63,86,0.27675616132353
63,7,0.32188608567140153
64,116,0.1336423247525373
64,129,0.06490891542902592
64,176,0.06059577528102764
64,40,0.0923618691809515
64,118,0.06317344752237654
64,152,0.45717588811755366
64,62,0.14270401073099195
67,96,0.010590918038161347
67,81,0.004949282592699004
67,171,0.04536030207103895
67,106,0.005111524413237604
67,71,0.017010113276639607
67,8,0.01072533136882671
67,29,0.05918914387873941
67,59,0.014847847778097011
67,174,0.1151787441903404
67,156,0.004949282592699004
67,177,0.022576349917523015
67,25,0.029269861823614688
67,148,0.07024766837667526
67,178,0.00575893720951702
67,133,0.022765055337976695
67,110,0.023096204808150965
67,7,0.01588637705724202
67,87,0.02315872345277831
67,108,0.10739665943770785
67,49,0.010340297448676976
68,10,0.12855082476514046
68,38,0.11273449573997633
68,78,0.08324157972980507
68,69,0.13470491248275834
70,45,0.19564482058850505
70,88,0.23264921108283282
70,82,0.14513592431356317
71,169,0.42107090239237666
72,37,0.28191566922223477
72,164,0.3452224678859292
74,41,0.34632363094111773
74,18,0.3237006180039409
76,78,0.24911126904957753
76,145,0.37928325398955653
77,58,0.2755975843814652
79,108,0.33760381243260573
79,100,0.23196511444140855
80,68,0.0675022249405353
80,47,0.18371833526716097
80,143,0.06308944808426517
80,9,0.06668538983181833
80,15,0.19332237215103093
80,142,0.3796147357835413
80,163,0.053356423194145255
80,92,0.05192225593446605
81,83,0.6461015584094033
82,70,0.6592238895003211
82,74,0.1682859844685953
82,5,0.189953717408135
82,165,0.05497969548424293
82,99,0.12316285466417878
84,84,0.2507269636469282
85,98,0.18448676647171847
85,43,0.179427260885873
85,55,0.17709399743259585
86,151,0.2816891300596351
86,123,0.31166626207866976
87,163,0.30531906615123106
90,82,0.35809195903731783
90,127,0.2663568267980037
91,157,0.41379005722831386
91,43,0.28141885196197314
93,4,0.4547973533221681
93,55,0.19712749719990577
93,96,0.1946570314815804
94,129,0.14703794435561657
94,82,0.053080648530375495
94,34,0.08284489718369485
94,141,0.8783536309260912
94,37,0.11487721649103952
95,156,0.3085072187928113
95,176,0.2769334776964804
96,100,0.2526667070931026
96,125,0.29753720219109847
102,13,0.13554202510587418
102,159,0.1576445189030569
102,62,0.15573688433471117
102,162,0.18059254261904478
103,114,0.4747392359743918
104,35,0.107264936438294
104,78,0.08593727999662917
104,93,0.23762067434792147
104,64,0.14695876874488686
105,3,0.22764199053302822
105,31,0.21851990176860292
106,84,0.4215725221751506
107,101,0.1724770169528126
107,10,0.4636075674226266
109,101,0.08921498570891678
109,40,0.07267043326245781
109,85,0.11509745498989109
109,165,0.10411250267239248
109,123,0.11096551512061846
109,151,0.10029247058206228
109,157,0.1714656660757368
110,67,0.27256679688992513
111,92,0.24984348823208255
111,43,0.33326850023552623
113,154,0.6079442914216899
113,172,0.27717296924876705
114,101,0.2580395235703471
114,92,0.25285555298545925
115,77,0.2004991096195632
115,160,0.28330571822284767
116,77,0.24953124147891953
116,166,0.31406250184973217
117,158,0.21125729417573114
117,24,0.29556942520489954
118,62,0.22136878967356816
120,74,0.18376931070239483
120,81,0.06125643690079828
120,13,0.0563518509899222
120,175,0.020856172467603684
120,116,0.04042427886857636
120,173,0.1265289531651609
120,65,0.1965788516907301
120,161,0.022124269929674964
120,66,0.08084855773715272
120,36,0.02063328596016315
120,150,0.04544604166230436
120,82,0.07087766634100949
120,157,0.016479741799087982
120,40,0.055875441608895925
120,95,0.025521704356641656
120,71,0.04678473478349248
120,103,0.028966299863216374
120,59,0.020418812300266095
122,79,0.6943264718129255
122,178,0.22768485539678351
123,39,0.37696929272330815
123,86,0.33951447617913083
126,62,0.2616456491577848
126,40,0.16934409268167927
127,92,0.25074986586609643
128,1,0.07559505993796715
128,132,0.08088253892331293
128,13,0.06954243127293368
129,69,0.37153284421033345
129,82,0.2180709044145689
130,136,0.09887953763557014
130,57,0.09564968911659792
130,100,0.0830157652513038
131,139,0.28945163589325457
131,164,0.2845313353395265
132,40,0.15423705872504784
132,121,0.22782225941793482
132,13,0.20740283507102214
136,154,0.37136615695257286
